Obra|DataUltimaAuditoria|ValorInicialContratado|ValorAditado|DespesaPaga|ValorTotal
2668|2017-11-14T00:00:00|829993.88|0.00|697054.91|829993.88
2669|2017-11-14T00:00:00|467835.65|116958.91|422433.37|584794.56
2670|2017-11-14T00:00:00|0.00|0.00|0.00|0.00
2671|2017-11-14T00:00:00|818523.43|0.00|742520.90|818523.43
2674|2017-07-03T00:00:00|3283858.19|0.00|2850183.54|3283858.19
2677|2017-12-20T00:00:00|13716.88|2608.51|16325.39|16325.39
2678|2017-11-30T00:00:00|4733678.01|1183408.62|12424667.84|5917086.63
2679|2017-11-30T00:00:00|2224016.39|0.00|2224016.39|2224016.39
2681|2018-04-10T00:00:00|247707.05|0.00|247707.05|247707.05
2683|2018-03-26T00:00:00|132610.49|0.00|131283.65|132610.49
2684|2018-03-09T00:00:00|226336.36|47311.89|272525.93|273648.25
2686|2018-04-19T00:00:00|878187.24|0.00|891398.06|878187.24
2687|2019-04-29T00:00:00|3950297.70|334837.85|3522909.81|4285135.55
2689|2018-01-22T00:00:00|1454000.00|0.00|442650.00|1454000.00
2692|2018-02-23T00:00:00|299018.42|313589.54|319018.42|612607.96
2694|2018-01-25T00:00:00|1218960.78|0.00|968103.01|1218960.78
2695|2016-02-22T00:00:00|832496.33|0.00|0.00|832496.33
2696|2016-02-22T00:00:00|794563.13|0.00|0.00|794563.13
2697|2016-02-22T00:00:00|409389.18|34176.29|0.00|443565.47
2698|2016-02-22T00:00:00|164106.72|18730.87|0.00|182837.59
2699|2016-02-22T00:00:00|292338.60|17549.66|0.00|309888.26
2700|2016-02-22T00:00:00|508316.80|0.00|0.00|508316.80
2701|2016-02-22T00:00:00|1325576.25|101584.35|0.00|1427160.60
2703|2016-02-22T00:00:00|508304.92|0.00|0.00|508304.92
2704|2016-02-22T00:00:00|653701.02|0.00|0.00|653701.02
2707|2018-02-20T00:00:00|113196.19|0.00|0.00|113196.19
2709|2018-03-13T00:00:00|25056362.90|0.00|10271028.21|25056362.90
2716|2018-03-01T00:00:00|79889.87|0.00|45018.10|79889.87
2717|2018-03-07T00:00:00|1144664.15|0.00|0.00|1144664.15
2718|2018-03-07T00:00:00|478075.35|0.00|0.00|478075.35
2719|2018-03-07T00:00:00|342443.76|0.00|0.00|342443.76
2720|2018-03-07T00:00:00|311397.83|0.00|0.00|311397.83
2721|2018-03-07T00:00:00|207127.57|0.00|0.00|207127.57
2722|2018-03-07T00:00:00|202394.69|0.00|0.00|202394.69
2723|2018-03-07T00:00:00|217753.22|0.00|0.00|217753.22
2724|2018-03-07T00:00:00|156438.14|0.00|0.00|156438.14
2725|2018-03-07T00:00:00|147031.19|0.00|0.00|147031.19
2726|2018-03-07T00:00:00|147031.19|0.00|0.00|147031.19
2727|2018-03-07T00:00:00|141095.00|0.00|0.00|141095.00
2728|2018-03-07T00:00:00|102000.00|0.00|0.00|102000.00
2729|2018-03-07T00:00:00|68000.00|0.00|0.00|68000.00
2730|2018-03-07T00:00:00|58996.78|0.00|0.00|58996.78
2731|2018-03-07T00:00:00|46026.91|0.00|0.00|46026.91
2732|2018-03-07T00:00:00|0.00|0.00|0.00|0.00
2733|2018-04-19T00:00:00|986743.35|0.00|368815.04|986743.35
2734|2018-04-19T00:00:00|406445.15|0.00|127145.12|406445.15
2735|2018-04-19T00:00:00|408007.37|0.00|0.00|408007.37
2736|2018-02-20T00:00:00|442567.54|0.00|0.00|442567.54
2737|2018-02-20T00:00:00|364690.30|0.00|0.00|364690.30
2738|2018-02-20T00:00:00|306162.63|0.00|0.00|306162.63
2740|2018-03-01T00:00:00|44715.38|0.00|35125.08|44715.38
2741|2018-05-04T00:00:00|520086.68|24235.61|298583.53|544322.29
2742|2018-05-04T00:00:00|318671.35|67361.62|184331.37|386032.97
2743|2018-05-04T00:00:00|568073.38|0.00|158702.10|568073.38
2744|2019-07-05T00:00:00|581438.21|0.00|513454.51|581438.21
2745|2018-05-04T00:00:00|10643319.29|0.00|845381.39|10643319.29
2746|2019-07-05T00:00:00|272740.42|0.00|215653.93|272740.42
2747|2019-04-12T00:00:00|294176.96|0.00|289544.70|294176.96
2748|2018-03-22T00:00:00|8000.00|0.00|0.00|8000.00
2751|2018-02-20T00:00:00|182008.72|0.00|0.00|182008.72
2752|2018-05-08T00:00:00|26574446.75|-1116922.36|79849.41|25457524.39
2753|2018-04-03T00:00:00|63233.56|0.00|93317.43|63233.56
2754|2018-04-03T00:00:00|64846.75|0.00|56448.93|64846.75
2755|2018-04-03T00:00:00|343478.55|0.00|424002.00|343478.55
2756|2018-04-03T00:00:00|149835.98|37295.81|187131.79|187131.79
2757|2018-04-03T00:00:00|125920.63|30866.75|156706.68|156787.38
2758|2018-04-03T00:00:00|98763.46|0.00|65702.69|98763.46
2759|2018-04-03T00:00:00|128421.70|39131.86|167543.11|167553.56
2760|2018-04-03T00:00:00|11960.34|0.00|11960.34|11960.34
2761|2018-04-03T00:00:00|21600.00|0.00|35656.00|21600.00
2762|2018-04-03T00:00:00|47669.59|8663.40|38358.46|56332.99
2763|2018-04-03T00:00:00|116763.20|0.00|70068.19|116763.20
2764|2018-04-03T00:00:00|54727.80|13640.00|68327.40|68367.80
2765|2018-04-03T00:00:00|147101.94|36670.82|178564.60|183772.76
2766|2018-04-03T00:00:00|96237.54|30978.42|124406.10|127215.96
2767|2018-04-03T00:00:00|14377.71|0.00|14513.23|14377.71
2768|2018-04-03T00:00:00|14263.92|0.00|14263.92|14263.92
2769|2018-04-03T00:00:00|50030.67|12373.57|62404.24|62404.24
2770|2018-04-03T00:00:00|145641.70|0.00|99536.78|145641.70
2771|2018-04-03T00:00:00|41500.00|0.00|40265.50|41500.00
2772|2018-04-03T00:00:00|13989.64|0.00|13989.64|13989.64
2773|2018-05-04T00:00:00|940312.00|0.00|119209.82|940312.00
2774|2018-05-17T00:00:00|27483358.91|-268054.40|10278101.12|27215304.51
2776|2018-03-22T00:00:00|14000.00|0.00|0.00|14000.00
2777|2018-03-28T00:00:00|148720.00|0.00|6935.00|148720.00
2778|2018-03-28T00:00:00|4500.00|0.00|6300.00|4500.00
2779|2018-04-12T00:00:00|13582.00|33955.00|16597.49|47537.00
2780|2017-08-15T00:00:00|840356.33|0.00|378422.35|840356.33
2781|2018-05-04T00:00:00|439218.81|0.00|80268.26|439218.81
2782|2017-09-15T00:00:00|1288068.10|0.00|1284553.24|1288068.10
2783|2018-04-11T00:00:00|2945428.80|0.00|1043479.81|2945428.80
2784|2018-05-09T00:00:00|1582186.63|0.00|0.00|1582186.63
2785|2018-05-08T00:00:00|216308.36|0.00|0.00|216308.36
2786|2018-05-10T00:00:00|1021342.60|0.00|0.00|1021342.60
2787|2018-05-10T00:00:00|42894.19|0.00|0.00|42894.19
2788|2018-05-10T00:00:00|66196.78|0.00|0.00|66196.78
2789|2018-05-16T00:00:00|309115.03|0.00|193726.06|309115.03
2790|2018-05-16T00:00:00|149050.63|0.00|65575.84|149050.63
2791|2018-05-16T00:00:00|287946.54|0.00|60506.74|287946.54
2793|2018-05-23T00:00:00|499548.59|0.00|499548.59|499548.59
2795|2018-05-23T00:00:00|403053.09|0.00|403053.09|403053.09
2799|2018-04-12T00:00:00|337301.08|0.00|0.00|337301.08
2800|2018-03-28T00:00:00|183239.30|45775.03|93432.48|229014.33
2801|2018-03-14T00:00:00|140400.00|0.00|47293.39|140400.00
2802|2018-03-16T00:00:00|535980.29|0.00|204701.98|535980.29
2803|2018-03-16T00:00:00|450133.15|0.00|248145.59|450133.15
2806||3237237.30|0.00|195115.22|3237237.30
2807|2016-12-21T00:00:00|348050.58|138374.18|463050.58|486424.76
2809|2018-05-08T00:00:00|14895626.10|0.00|5217994.78|14895626.10
2810|2016-12-21T00:00:00|772441.62|57009.52|138380.75|829451.14
2811|2016-12-21T00:00:00|698750.00|0.00|747765.00|698750.00
2812|2016-12-21T00:00:00|114665.60|0.00|30586.47|114665.60
2814|2018-06-06T00:00:00|2270123.09|4815221.12|5356050.07|7085344.21
2815|2018-06-08T00:00:00|529181.38|0.00|0.00|529181.38
2816|2018-06-08T00:00:00|550000.62|0.00|0.00|550000.62
2817|2018-06-01T00:00:00|1108189.08|0.00|0.00|1108189.08
2818|2018-06-01T00:00:00|847017.83|0.00|0.00|847017.83
2820|2018-06-08T00:00:00|4415328.74|912990.34|11209571.30|5328319.08
2821|2018-06-01T00:00:00|610200.00|0.00|62375.00|610200.00
2824|2018-06-08T00:00:00|2324133.00|0.00|258343.94|2324133.00
2825|2018-06-07T00:00:00|3285972.56|0.00|1783078.14|3285972.56
2826|2019-02-22T00:00:00|193786.35|0.00|191382.35|193786.35
2827|2019-04-12T00:00:00|345293.63|0.00|314544.14|345293.63
2828|2019-04-12T00:00:00|269544.86|0.00|247857.64|269544.86
2829|2019-07-05T00:00:00|283148.68|0.00|272342.71|283148.68
2830|2019-07-05T00:00:00|257224.09|0.00|247797.24|257224.09
2831|2018-07-12T00:00:00|460411.68|0.00|441605.06|460411.68
2832|2018-07-02T00:00:00|4560000.00|-196392.00|3563608.00|4363608.00
2834|2018-12-28T00:00:00|1577308.32|0.00|1404547.85|1577308.32
2835|2018-06-15T00:00:00|732530.19|0.00|217129.12|732530.19
2838|2018-06-07T00:00:00|1288111.06|0.00|240848.29|1288111.06
2839|2018-06-07T00:00:00|1958890.75|107552.12|571024.70|2066442.87
2843||2600000.00|0.00|0.00|2600000.00
2846|2018-07-12T00:00:00|78060.00|0.00|78060.00|78060.00
2847|2018-07-05T00:00:00|507390.63|0.00|0.00|507390.63
2850|2018-07-05T00:00:00|335360.01|0.00|0.00|335360.01
2851|2018-07-05T00:00:00|230275.79|0.00|0.00|230275.79
2852|2018-06-07T00:00:00|200787.12|0.00|0.00|200787.12
2853|2018-07-26T00:00:00|732613.89|2402832.45|3135446.34|3135446.34
2855|2018-07-19T00:00:00|145111.97|0.00|0.00|145111.97
2857|2018-07-19T00:00:00|106275.43|0.00|0.00|106275.43
2858|2018-07-19T00:00:00|63249.34|0.00|0.00|63249.34
2859|2018-07-19T00:00:00|144381.45|0.00|0.00|144381.45
2860|2018-07-19T00:00:00|139075.54|0.00|0.00|139075.54
2861|2019-05-09T00:00:00|98965389.94|4688149.70|39168617.90|103653539.64
2864|2017-12-20T00:00:00|6079441.43|1189989.91|2791556.45|7269431.34
2865|2019-09-27T00:00:00|48874156.76|0.00|10203887.47|48874156.76
2867|2017-12-20T00:00:00|1072396.33|176472.90|481483.47|1248869.23
2868|2017-12-20T00:00:00|515000.04|0.00|85833.34|515000.04
2869||9184429.31|0.00|4830556.85|9184429.31
2870|2019-08-16T00:00:00|50975278.70|0.00|4571985.25|50975278.70
2871|2018-12-06T00:00:00|15235398.29|0.00|1603772.68|15235398.29
2872|2018-12-06T00:00:00|88450976.37|13529349.50|49741096.37|101980325.87
2873|2018-12-06T00:00:00|4313306.26|0.00|3480085.30|4313306.26
2876|2018-07-12T00:00:00|1644909.90|0.00|1544990.87|1644909.90
2877|2018-07-12T00:00:00|12150000.00|-3037500.00|11990846.16|9112500.00
2880|2018-07-11T00:00:00|11411563.65|0.00|3583210.93|11411563.65
2884|2018-07-26T00:00:00|2290771.17|875932.15|3166703.32|3166703.32
2886|2018-08-17T00:00:00|2500188.05|0.00|609051.16|2500188.05
2887|2019-02-07T00:00:00|79209.99|0.00|0.00|79209.99
2890|2019-02-22T00:00:00|171819.44|0.00|171819.16|171819.44
2891|2019-04-12T00:00:00|252055.16|0.00|247482.68|252055.16
2892|2019-07-05T00:00:00|105082.04|0.00|104227.76|105082.04
2893|2019-04-12T00:00:00|137527.85|0.00|137074.52|137527.85
2894|2019-02-22T00:00:00|210012.20|0.00|208119.24|210012.20
2895|2018-09-21T00:00:00|142362.95|0.00|141712.39|142362.95
2896|2019-02-22T00:00:00|393023.96|0.00|387827.10|393023.96
2898|2018-08-31T00:00:00|554419.20|0.00|474639.14|554419.20
2905|2018-04-12T00:00:00|0.00|0.00|0.00|0.00
2906|2018-07-12T00:00:00|3533978.13|0.00|2318270.76|3533978.13
2907|2018-07-12T00:00:00|300011.45|0.00|211057.48|300011.45
2908|2018-07-12T00:00:00|453310.36|0.00|473540.29|453310.36
2909|2018-07-12T00:00:00|146346.57|8019.72|151479.98|154366.29
2910|2018-08-20T00:00:00|0.00|0.00|0.00|0.00
2915|2018-08-03T00:00:00|1545751.61|188503.00|1195676.56|1734254.61
2916|2018-08-03T00:00:00|421862.59|79835.64|470441.23|501698.23
2917|2018-08-03T00:00:00|643891.94|28138.10|585702.35|672030.04
2920|2018-02-15T00:00:00|0.00|0.00|0.00|0.00
2922|2019-04-12T00:00:00|143853.58|0.00|141660.73|143853.58
2923|2018-02-27T00:00:00|0.00|0.00|0.00|0.00
2924|2018-03-28T00:00:00|0.00|0.00|0.00|0.00
2925|2019-06-14T00:00:00|1782649.64|0.00|527832.95|1782649.64
2926|2018-08-13T00:00:00|0.00|0.00|0.00|0.00
2927|2019-06-14T00:00:00|354000.00|0.00|31860.00|354000.00
2928|2018-08-03T00:00:00|2997275.16|891991.38|2299406.76|3889266.54
2929|2018-08-20T00:00:00|0.00|0.00|0.00|0.00
2930|2019-06-14T00:00:00|0.00|0.00|0.00|0.00
2931|2019-06-14T00:00:00|994804.38|229050.48|1223854.86|1223854.86
2932|2019-05-22T00:00:00|742931.43|0.00|709331.66|742931.43
2933|2018-05-18T00:00:00|0.00|0.00|0.00|0.00
2934|2018-04-13T00:00:00|0.00|0.00|0.00|0.00
2935|2018-05-08T00:00:00|0.00|0.00|0.00|0.00
2936|2018-08-03T00:00:00|2155474.81|53000.03|1963166.43|2208474.84
2937|2018-08-03T00:00:00|1963426.55|44841.46|1554719.32|2008268.01
2938|2018-08-03T00:00:00|341913.16|85466.07|419068.25|427379.23
2939|2018-08-03T00:00:00|423217.56|-24550.84|386881.76|398666.72
2942|2018-04-12T00:00:00|0.00|0.00|0.00|0.00
2943|2018-04-13T00:00:00|0.00|0.00|0.00|0.00
2944|2018-08-27T00:00:00|580950.00|580950.00|283300.00|1161900.00
2946|2018-08-30T00:00:00|509693.58|6282.03|515975.60|515975.61
2947|2018-08-30T00:00:00|428666.18|0.00|419870.61|428666.18
2948|2018-02-20T00:00:00|0.00|0.00|0.00|0.00
2953|2018-08-31T00:00:00|10262094.28|20854208.93|20263639.52|31116303.21
2954|2019-12-06T00:00:00|2541747.96|319718.53|2807158.16|2861466.49
2955|2018-10-03T00:00:00|0.00|0.00|418153.74|0.00
2956|2018-10-03T00:00:00|0.00|0.00|800809.64|0.00
2957|2018-10-03T00:00:00|0.00|0.00|64724.99|0.00
2958|2018-10-03T00:00:00|0.00|0.00|79763.79|0.00
2959|2018-10-03T00:00:00|0.00|0.00|25603.34|0.00
2960|2018-10-03T00:00:00|0.00|0.00|35816.43|0.00
2961|2018-10-03T00:00:00|0.00|0.00|1684489.30|0.00
2962|2018-10-03T00:00:00|0.00|0.00|368947.00|0.00
2963|2018-10-03T00:00:00|0.00|0.00|790000.00|0.00
2964|2018-11-08T00:00:00|98400.00|141313.34|196800.00|239713.34
2966|2018-11-08T00:00:00|127792.00|36889.52|164681.52|164681.52
2967|2018-11-08T00:00:00|288000.00|144000.00|372800.00|432000.00
2968|2018-11-08T00:00:00|429000.22|-1390.24|137243.95|427609.98
2970|2018-11-08T00:00:00|462900.00|0.00|310199.58|462900.00
2971|2018-11-08T00:00:00|45000.00|0.00|42275.00|45000.00
2974|2018-08-30T00:00:00|132569.00|0.00|132569.00|132569.00
2975|2018-08-30T00:00:00|267128.02|0.00|214852.32|267128.02
2976|2018-11-09T00:00:00|109915.71|0.00|108672.68|109915.71
2977|2019-07-05T00:00:00|528620.12|0.00|477896.15|528620.12
2978|2019-04-12T00:00:00|282956.96|0.00|264699.68|282956.96
2979|2019-02-22T00:00:00|239020.97|0.00|239020.66|239020.97
2980|2019-02-22T00:00:00|239417.22|0.00|238454.21|239417.22
2981|2018-10-03T00:00:00|0.00|0.00|13810.88|0.00
2982|2018-10-03T00:00:00|0.00|0.00|252927.58|0.00
2983|2018-10-03T00:00:00|0.00|0.00|39600.00|0.00
2984|2018-10-03T00:00:00|0.00|0.00|241376.51|0.00
2985|2018-10-03T00:00:00|0.00|0.00|14500.00|0.00
2986|2018-10-03T00:00:00|0.00|0.00|7850.00|0.00
2987|2018-10-03T00:00:00|0.00|0.00|26362.50|0.00
2988|2018-10-03T00:00:00|0.00|0.00|134697.86|0.00
2989|2018-10-03T00:00:00|0.00|0.00|203846.89|0.00
2990|2018-10-03T00:00:00|0.00|0.00|80414.79|0.00
2991|2018-10-03T00:00:00|0.00|0.00|69435.02|0.00
2999|2018-10-03T00:00:00|0.00|0.00|263125.12|0.00
3000|2018-10-03T00:00:00|0.00|0.00|45227.73|0.00
3001|2018-10-03T00:00:00|0.00|0.00|190646.60|0.00
3002|2018-10-03T00:00:00|0.00|0.00|152482.06|0.00
3003|2018-10-03T00:00:00|0.00|0.00|29290.53|0.00
3004|2018-10-03T00:00:00|0.00|0.00|83870.27|0.00
3008|2018-10-03T00:00:00|0.00|0.00|125544.95|0.00
3009|2018-10-03T00:00:00|0.00|0.00|144209.91|0.00
3010|2018-10-03T00:00:00|0.00|0.00|688890.68|0.00
3011|2020-07-29T00:00:00|37511833.29|1623371.15|16017467.53|39135204.44
3012|2018-11-30T00:00:00|130460.23|0.00|130460.23|130460.23
3014|2018-10-31T00:00:00|8753474.44|898380.29|3635202.99|9651854.73
3015|2018-11-30T00:00:00|407003.72|0.00|407003.72|407003.72
3016|2018-11-30T00:00:00|78200.00|0.00|78200.00|78200.00
3019|2018-10-03T00:00:00|0.00|0.00|235504.78|0.00
3020|2018-11-08T00:00:00|118568.99|0.00|77321.30|118568.99
3021|2019-03-19T00:00:00|7224178.58|0.00|380100.35|7224178.58
3024|2019-06-27T00:00:00|40849755.01|0.00|3240127.53|40849755.01
3028|2018-11-22T00:00:00|527933.57|2287712.03|2815645.60|2815645.60
3030|2018-03-23T00:00:00|179972.37|70904.24|250863.36|250876.61
3032|2018-08-30T00:00:00|140999.00|0.00|16957.00|140999.00
3033|2018-12-06T00:00:00|78473.46|0.00|0.00|78473.46
3034|2019-05-20T00:00:00|2510831.15|0.00|2021975.87|2510831.15
3035|2018-12-03T00:00:00|3929645.20|0.00|788065.50|3929645.20
3036|2019-03-06T00:00:00|371400.00|0.00|141540.00|371400.00
3037|2018-12-03T00:00:00|1355400.00|0.00|0.00|1355400.00
3038|2018-12-03T00:00:00|406707.00|0.00|203353.50|406707.00
3040|2018-12-11T00:00:00|132078003.72|16490000.00|83031716.19|148568003.72
3042|2018-12-13T00:00:00|5976607.32|0.00|4170369.32|5976607.32
3043|2018-09-06T00:00:00|550000.00|36025.00|586025.00|586025.00
3045|2018-08-31T00:00:00|151617.40|0.00|190173.77|151617.40
3048|2019-02-20T00:00:00|382838.08|277197.36|382838.08|660035.44
3049|2020-01-03T00:00:00|1150780.00|0.00|0.00|1150780.00
3051|2018-05-07T00:00:00|148720.00|0.00|6935.00|148720.00
3052|2019-02-20T00:00:00|119954.01|0.00|138498.74|119954.01
3053|2019-02-20T00:00:00|139883.73|0.00|139883.71|139883.73
3054|2019-02-20T00:00:00|77515.64|0.00|77515.64|77515.64
3055|2019-02-20T00:00:00|143905.94|0.00|143819.01|143905.94
3056|2019-01-23T00:00:00|959.74|0.00|959.74|959.74
3057|2019-02-20T00:00:00|328471.50|0.00|30830.88|328471.50
3058|2019-02-20T00:00:00|138030.60|0.00|25950.25|138030.60
3059|2019-02-20T00:00:00|168740.81|0.00|38485.03|168740.81
3060|2019-01-24T00:00:00|4574330.02|0.00|645305.29|4574330.02
3061|2019-01-28T00:00:00|0.00|0.00|0.00|0.00
3062|2019-01-24T00:00:00|0.00|0.00|0.00|0.00
3064|2019-02-15T00:00:00|16454105.98|0.00|0.00|16454105.98
3065|2019-02-22T00:00:00|271733.16|0.00|115668.77|271733.16
3066|2019-02-15T00:00:00|275661.50|0.00|0.00|275661.50
3069|2018-12-20T00:00:00|61098525.31|0.00|421370.00|61098525.31
3070|2019-02-15T00:00:00|165020.47|0.00|0.00|165020.47
3071|2019-02-15T00:00:00|130558.90|0.00|0.00|130558.90
3072|2019-02-15T00:00:00|666840.33|0.00|318602.20|666840.33
3073|2019-02-15T00:00:00|533498.85|0.00|33386.06|533498.85
3074|2019-02-15T00:00:00|85834.48|0.00|0.00|85834.48
3075|2019-02-15T00:00:00|212353.22|0.00|33488.79|212353.22
3076|2019-02-15T00:00:00|424553.67|0.00|109193.06|424553.67
3077|2019-02-15T00:00:00|92635.58|15162.15|13876.43|107797.73
3078|2019-02-15T00:00:00|191976.87|0.00|0.00|191976.87
3079|2019-02-15T00:00:00|617945.54|93121.13|516418.43|711066.67
3080|2019-03-20T00:00:00|205014.87|23145.28|11314.18|228160.15
3081|2019-02-26T00:00:00|58873124.81|7535633.03|82484276.58|66408757.84
3082|2019-02-28T00:00:00|4016911.42|964596.67|1956124.69|4981508.09
3083|2019-01-24T00:00:00|4199555.72|0.00|1985361.75|4199555.72
3084|2019-02-26T00:00:00|1195008.47|0.00|1191692.77|1195008.47
3085|2019-02-26T00:00:00|1067058.17|254678.32|1189658.12|1321736.49
3086|2019-02-28T00:00:00|889299.09|0.00|0.00|889299.09
3087|2019-02-28T00:00:00|2558888.09|0.00|335264.60|2558888.09
3089|2019-02-28T00:00:00|4016911.42|0.00|0.00|4016911.42
3090|2019-02-26T00:00:00|950984.98|0.00|381561.95|950984.98
