Codigo|Municipio|UG|Titulo|DataUltimaAuditoria|CodigoMunicipio|CodigoUG
907|Escada|Prefeitura Municipal de Escada|Prestação de serviços de Transporte Escolar no Município de Escada.|2012-11-30T00:00:00|P054|224
1123|Ipojuca|Prefeitura Municipal de Ipojuca|Serviço de transporte escolar em Ipojuca.|2012-03-29T00:00:00|P074|293
1214|Ilha de Itamaracá|Prefeitura Municipal da Ilha de Itamaracá|Transporte escolar|2012-03-22T00:00:00|P078|306
1233|Tuparetama|Prefeitura Municipal de Tuparetama|Administração do Serviço de Transporte de estudantes do Município, bem como locação de veículos, com motorista, a serem utilizados no transporte de alunos e professores; locação de outros veículos, com motorista, que deverão ficar a disposição das Secretarias Municipais.|2016-10-07T00:00:00|P162|698
1375|Buíque|Prefeitura Municipal de Buíque|Administração do Serviço de Transporte de Estudantes do Município, bem como a Locação de Veículos, com motorista, que deverão ficar a disposição das Secretarias Municipais.|2012-08-14T00:00:00|P029|112
1376|Alagoinha|Prefeitura Municipal de Alagoinha|Contratação de empresa para prestação de serviços de Transporte Escolar da Rede Municipal e Estadual de Ensino no município de Alagoinha-PE|2012-08-28T00:00:00|P007|23
1377|Moreno|Prefeitura Municipal do Moreno|Serviço de transporte escolar no município de Moreno.|2012-09-28T00:00:00|P098|380
1390|Amaraji|Prefeitura Municipal de Amaraji|TRANSPORTE DE ESTUDANTES DE AMARAJI (EXERCÍCIO 2009)|2012-03-26T00:00:00|P010|32
1393|Garanhuns|Prefeitura Municipal de Garanhuns|Execução dos serviços de transporte escolar de alunos da rede pública do município de Garanhuns|2012-08-17T00:00:00|P062|247
1403|Iati|Prefeitura Municipal de Iati|Serviços e gerenciamento do transporte escolar da rede pública de ensino, transporte de universitários, locação de veículos e máquinas pesadas destinado a manutenção das atividades e serviço público deste município|2012-09-14T00:00:00|P067|265
1427|Caetés|Prefeitura Municipal de Caetés|Contrato de execução de transporte escolar de Caetés|2012-09-12T00:00:00|P033|131
1435|Jucati|Prefeitura Municipal de Jucati|"""Gerenciamento e locação de veículos tipo Van ou similar, micro-ônibus e ônibus com motoristas para o transporte de estudantes da rede municipal de ensino e estudantes universitários"""|2012-10-17T00:00:00|P169|727
1461|Belém de São Francisco|Prefeitura Municipal de Belém de São Francisco|Serviços de transporte escolar (incluindo a locação de veículos para diversas Secretarias do Município).|2013-04-05T00:00:00|P017|62
1466|Floresta|Prefeitura Municipal de Floresta|Transporte escolar|2013-04-19T00:00:00|P059|238
1471|Ouricuri|Prefeitura Municipal de Ouricuri|Locação de Veículos para a Execução do Transporte de Alunos do Ensino Fundamental da Rede Municipal de Ouricuri|2016-11-25T00:00:00|P103|417
1472|Paranatama|Prefeitura Municipal de Paranatama|Locação de veículos e transporte de estudantes|2013-05-23T00:00:00|P107|444
1488|Itacuruba|Prefeitura Municipal de Itacuruba|Transporte escolar|2013-05-03T00:00:00|P076|300
1490|Cabo de Santo Agostinho|Prefeitura Municipal do Cabo de Santo Agostinho|Serviço de Transporte Escolar Prestado pelo Município do Cabo de Santo Agostinho|2013-04-26T00:00:00|P030|115
1491|Água Preta|Prefeitura Municipal de Água Preta|Serviços de Transporte Escolar.|2013-05-21T00:00:00|P005|15
1497|São Lourenço da Mata|Prefeitura Municipal de São Lourenço da Mata|Prestação de serviços de transporte escolar de alunos das escolas públicas da rede municipal e estadual, com utilização de veículos tipo ônibus.|2013-05-10T00:00:00|P141|618
1501|Carnaubeira da Penha|Prefeitura Municipal de Carnaubeira da Penha|Serviços de transporte escolar|2013-05-17T00:00:00|P172|738
1515|Escada|Prefeitura Municipal de Escada|Transporte Escolar (Edital)|2013-06-04T00:00:00|P054|224
1516|Escada|Prefeitura Municipal de Escada|Transporte Escolar - Dispensa de Licitação e Aditivos|2013-08-23T00:00:00|P054|224
1520|Verdejante|Prefeitura Municipal de Verdejante|Serviços de transporte escolar|2013-06-14T00:00:00|P164|705
1521|Serrita|Prefeitura Municipal de Serrita|Serviços de transporte escolar|2013-06-07T00:00:00|P144|631
1522|Ipojuca|Prefeitura Municipal de Ipojuca|Serviço de Transporte Escolar da Rede Municipal de Ensino|2013-07-05T00:00:00|P074|293
1544|Cumaru|Prefeitura Municipal de Cumaru|Transporte Escolar|2013-05-29T00:00:00|P051|214
1550|Jataúba|Prefeitura Municipal de Jataúba|Prestação de serviços de transporte escolar e locação de veículos|2013-10-02T00:00:00|P084|331
1551|Cupira|Prefeitura Municipal de Cupira|Locação de veículos e gerenciamento do transporte escolar no município|2015-04-14T00:00:00|P052|217
1571|Rio Formoso|Prefeitura Municipal de Rio Formoso|Contratação de empresa para locação e gerenciamento de veículos destinados ao transporte escolar e atendimento às diversas Secretarias do município de Rio Formoso|2013-09-03T00:00:00|P123|555
1575|Pombos|Prefeitura Municipal de Pombos|Serviços de Transporte Escolar|2013-10-23T00:00:00|P117|483
1577|Belo Jardim|Prefeitura Municipal de Belo Jardim|Serviços de Transporte de Estudantes|2013-11-21T00:00:00|P018|66
1583|Ipojuca|Prefeitura Municipal de Ipojuca|Serviço de Transporte Escolar da Rede Municipal de Ensino|2013-11-01T00:00:00|P074|293
1611|Belo Jardim|Prefeitura Municipal de Belo Jardim|Serviços de Transporte de Estudantes|2013-11-21T00:00:00|P018|66
1623|Tamandaré|Prefeitura Municipal de Tamandaré|Prestação de serviços de Transporte Escolar e Locação de Veículos Leves e Pesados|2013-12-19T00:00:00|P181|767
1624|Escada|Prefeitura Municipal de Escada|Serviços de Transporte Escolar|2015-08-28T00:00:00|P054|224
1644|Mirandiba|Prefeitura Municipal de Mirandiba|Contratação de empresa para prestação do serviço de transporte escolar do Município de Mirandiba.|2014-01-23T00:00:00|P097|377
1653|Carnaíba|Prefeitura Municipal de Carnaíba|Serviço de transporte escolar da Prefeitura Municipal de Carnaíba do exercício de 2014.|2014-03-26T00:00:00|P041|166
1662|Jatobá|Prefeitura Municipal de Jatobá|Serviço de transporte escolar de alunos da rede pública do Município de Jatobá|2014-03-20T00:00:00|P179|762
1664|Petrolândia|Prefeitura Municipal de Petrolândia|Prestação de serviço de transporte escolar com motorista para o Município|2014-04-03T00:00:00|P114|469
1895|Ingazeira|Prefeitura Municipal de Ingazeira|Contratação de empresa especializada em locação de veículos destinados ao atendimento da locação e gerenciamento de veículos o transporte escolar.|2014-06-06T00:00:00|P073|291
1944|Santa Cruz da Baixa Verde|Prefeitura Municipal de Santa Cruz da Baixa Verde|Contratação de empresa especializada na prestação de serviços de locação e administração do transporte escolar, bem como a locação de veículos destinados ao atendimento de diversas secretarias municipais de Santa Cruz da Baixa Verde.|2016-05-20T00:00:00|P168|724
1947|Cedro|Prefeitura Municipal de Cedro|Contratação de terceiros pessoa física ou jurídica - locação de veículo (com motorista) para atender necessidades do transporte escolar dos estudantes do município de Cedro-PE.|2014-09-02T00:00:00|P045|185
1948|Poção|Prefeitura Municipal de Poção|Execução do contrato de transporte escolar.|2013-05-24T00:00:00|P116|480
1969|Quixaba|Prefeitura Municipal de Quixaba|Contratação de empresa para execução dos serviços de locação e gerenciamento de veículos para transporte escolar.|2014-10-30T00:00:00|P174|744
1970|Quixaba|Prefeitura Municipal de Calumbi|Contratação de pessoa física ou empresa especializada no transporte de estudantes do ensino fundamental e médio deste Município durante o ano de 2013.|2014-10-30T00:00:00|P174|141
1996|Glória do Goitá|Prefeitura Municipal de Glória do Goitá|Serviços de Transporte Escolar do Município de Glória do Goitá|2015-06-30T00:00:00|P063|251
2023|Ouricuri|Prefeitura Municipal de Ouricuri|Contratação de veículos para o transporte de estudantes e professores da rede municipal de ensino|2015-04-01T00:00:00|P103|417
2029|Camocim de São Félix|Prefeitura Municipal de Camocim de São Félix|Serviços de Transporte Escolar|2015-07-06T00:00:00|P037|151
2030|Amaraji|Prefeitura Municipal de Amaraji|Prestação de serviços de transporte escolar para atender aos alunos do Ensino Fundamental e Ensino Médio, residentes na Zona Rural do Município, matriculados nas Escolas Municipais e Estaduais de Amaraji - PE (Lote 01)|2015-04-30T00:00:00|P010|32
2037|Ipojuca|Prefeitura Municipal de Ipojuca|Serviços de Transporte Escolar de Professores, Universitários, Técnicos e Receptivo Eventual.|2015-04-14T00:00:00|P074|293
2043|Dormentes|Prefeitura Municipal de Dormentes|Contratação de Serviço de Transporte Escolar|2015-04-16T00:00:00|P170|732
2047|Orocó|Prefeitura Municipal de Orocó|Execução de transporte de alunos do ensino fundamental da rede municipal originados da sede e da zona rural.|2015-04-22T00:00:00|P102|414
2062|Santa Filomena|Prefeitura Municipal de Santa Filomena|Locação de Veículos para a Execução do Transporte de Alunos do Ensino Fundamental da Rede Municipal de Santa Filomena|2016-11-18T00:00:00|P184|774
2090|Ipubi|Prefeitura Municipal de Ipubi|Locação de veículos, destinados aos serviços de transporte escolar.|2015-06-12T00:00:00|P075|296
2093|Flores|Prefeitura Municipal de Flores|Locação de veículos e administração do transporte escolar do Município de Flores.|2016-05-20T00:00:00|P058|235
2095|Ibirajuba|Prefeitura Municipal de Ibirajuba|Transporte Escolar|2015-06-19T00:00:00|P069|274
2099|Santa Maria da Boa Vista|Prefeitura Municipal de Santa Maria da Boa Vista|Contratação de veículos para o transporte de estudantes e professores da rede municipal de ensino|2015-06-09T00:00:00|P130|579
2101|Moreilândia|Prefeitura Municipal de Moreilândia|Locação de veículos de passeio, ônibus, microônibus, vans e utilitários para atender ao transporte de alunos do município de Moreilândia|2015-06-17T00:00:00|P147|640
2102|Tabira|Prefeitura Municipal de Tabira|Contratação de empresa para prestação de serviços de transporte escolar|2015-06-12T00:00:00|P150|653
2103|Barreiros|Prefeitura Municipal de Barreiros|Locação e administração do transporte escolar do Município de Barreiros|2015-07-22T00:00:00|P015|58
2113|Panelas|Prefeitura Municipal de Panelas|Serviço de municipal de transporte escolar|2015-07-17T00:00:00|P106|439
2118|Joaquim Nabuco|Prefeitura Municipal de Joaquim Nabuco|Serviço de transporte escolar coletivo de alunos da rede escolar pública do município de Joaquim Nabuco|2015-06-26T00:00:00|P086|341
2126|Afogados da Ingazeira|Prefeitura Municipal de Afogados da Ingazeira|Contratação de empresa para locação e administração do transporte escolar do município, bem como para locação de veículos diversos para uso da Secretaria Municipal de Educação.|2015-08-14T00:00:00|P002|3
2139|Pesqueira|Prefeitura Municipal de Pesqueira|Transporte Escolar|2015-09-01T00:00:00|P113|465
2140|Belo Jardim|Prefeitura Municipal de Belo Jardim|Credenciamento de Prestadores de Serviços de Transporte Escolar - Chamamento Público 001/2015|2015-10-19T00:00:00|P018|66
2141|Belo Jardim|Prefeitura Municipal de Belo Jardim|Serviços de Transporte Escolar - Dispensa de Licitação|2015-10-19T00:00:00|P018|66
2142|Terra Nova|Prefeitura Municipal de Terra Nova|Locação de Veículos para a Execução do Transporte de Alunos do Ensino Fundamental da Rede Municipal de Terra Nova|2016-06-02T00:00:00|P155|672
2143|Santa Maria do Cambucá|Prefeitura Municipal de Santa Maria do Cambucá|Locação de veículos com motorista, destinados à execução dos serviços de transporte escolar.|2015-09-02T00:00:00|P131|582
2151|Bodocó|Prefeitura Municipal de Bodocó|Serviços de transporte escolar|2015-08-31T00:00:00|P021|80
2155|Carnaubeira da Penha|Prefeitura Municipal de Carnaubeira da Penha|Prestação de serviços de transporte escolar para atender aos estudantes da zona rural do município de Carnaubeira da Penha.|2015-09-11T00:00:00|P172|738
2161|Goiana|Prefeitura Municipal de Goiana|Contratação de Pessoa Jurídica para locação de frota de veículos, com motorista, destinados ao transporte escolar do Município de Goiana|2015-09-24T00:00:00|P064|253
2166|Gravatá|Prefeitura Municipal de Gravatá|Serviços de transporte escolar - Pregão Presencial 11/2013|2015-10-23T00:00:00|P066|260
2168|Gravatá|Prefeitura Municipal de Gravatá|Serviços de transporte escolar - Dispensa 08/2013|2015-10-23T00:00:00|P066|260
2169|Granito|Prefeitura Municipal de Granito|Locação de veículos para execução de transporte de alunos do ensino fundamental da rede municipal de ensino, zona rural e sede do Município de Granito|2015-10-05T00:00:00|P065|257
2179|Belo Jardim|Prefeitura Municipal de Belo Jardim|Credenciamento de Prestadores de Serviços de Transporte Escolar - Chamamento Público 002/2015|2015-10-19T00:00:00|P018|66
2180|Palmeirina|Prefeitura Municipal de Palmeirina|Contratação de empresa para prestação de serviços de Locação de Veículos para o transporte escolar|2015-11-10T00:00:00|P105|435
2226|Exu|Prefeitura Municipal de Exu|Transporte Escolar|2016-04-08T00:00:00|P055|227
2250|Serra Talhada|Prefeitura Municipal de Serra Talhada|Contratação de Pessoa Jurídica para locação de Veículos destinados ao Transporte Escolar.|2016-05-13T00:00:00|P143|626
2255|Lagoa Grande|Prefeitura Municipal de Lagoa Grande|Serviços de transporte escolar.|2016-05-13T00:00:00|P177|754
2256|Pedra|Prefeitura Municipal da Pedra|Contrato de prestação dos serviços de Transporte Escolar|2016-05-20T00:00:00|P112|462
2257|Sertânia|Prefeitura Municipal de Sertânia|Contratação de empresa especializada para locação e administração do Transporte Escolar do município.|2016-05-12T00:00:00|P145|634
2270|Arcoverde|Prefeitura Municipal de Arcoverde|Serviço de Transporte Escolar|2016-05-20T00:00:00|P013|47
2285|São José do Belmonte|Prefeitura Municipal de São José do Belmonte|Contratação de empresa para execução dos serviços de Transporte Escolar|2016-05-20T00:00:00|P139|611
2287|Floresta|Prefeitura Municipal de Floresta|Contratação de empresa ou pessoa física para prestação de serviços de transporte escolar|2016-06-17T00:00:00|P059|238
2297|Flores|Prefeitura Municipal de Flores|Contratação de serviços de transporte escolar automotivo de alunos da rede pública municipal de ensino (transporte escolar rural) do Município de Flores-PE.|2016-07-14T00:00:00|P058|235
2305|Araripina|Prefeitura Municipal de Araripina|Contratação de empresa ou pessoa física para locação de veículos para a realização dos serviços de transporte escolar|2016-07-29T00:00:00|P012|40
2325|Água Preta|Prefeitura Municipal de Água Preta|Locação e Gerenciamento de Veículos para Transporte Escolar|2016-10-06T00:00:00|P005|15
2331|Quipapá|Prefeitura Municipal de Quipapá|Contratação de empresa especializada para locação e gerenciamento de veículos de forma complementar, para realizar transporte escolar de forma gratuita e regular, dos alunos matriculados na rede municipal de ensino de Quipapá.|2016-09-09T00:00:00|P119|490
2332|Quipapá|Prefeitura Municipal de Quipapá|Contratação de empresa especializada para locação e gerenciamento de veículos para realizar transporte escolar de forma gratuita e regular dos alunos matriculados na rede municipal de ensino de Quipapá/PE.|2016-09-09T00:00:00|P119|490
2334|Afrânio|Prefeitura Municipal de Afrânio|Transporte escolar|2016-09-27T00:00:00|P003|8
2356|Casinhas|Prefeitura Municipal de Casinhas|Contratação de empresa especializada para prestação de serviços de Transporte Escolar do Ensino Fundamental da Rede Municipal de Ensino e da Rede Conveniada com o município de Casinhas.|2016-09-21T00:00:00|P178|757
2378|Trindade|Prefeitura Municipal de Trindade|Contratação de empresa para locação e administração do transporte escolar do município.|2016-10-28T00:00:00|P159|685
2406|Agrestina|Prefeitura Municipal de Agrestina|Transporte Escolar e Universitário|2016-07-15T00:00:00|P004|11
2408|Dormentes|Prefeitura Municipal de Dormentes|Serviços de transporte escolar|2016-12-22T00:00:00|P170|732
2430|Afogados da Ingazeira|Prefeitura Municipal de Afogados da Ingazeira|Contratação de empresa para locação e administração do transporte escolar do Município, bem como para locação de veículos diversos para uso da Secretaria Municipal de Educação.|2017-06-09T00:00:00|P002|3
2431|Barreiros|Prefeitura Municipal de Barreiros|Contratação de empresa especializada para locação de veículos para Transporte Escolar no município.|2017-06-01T00:00:00|P015|58
2435|Abreu e Lima|Prefeitura Municipal de Abreu e Lima|Contratação de pessoa jurídica em caráter emergencial para prestação de serviço de transporte escolar, com motorista, com veículo em perfeito estado de conservação e funcionamento para os alunos da rede de ensino Municipal da Secretaria de Educação do Município de Abreu e Lima|2017-05-19T00:00:00|P001|1
2452|Mirandiba|Prefeitura Municipal de Mirandiba|Contratação emergencial para prestação dos serviços de locação de veículos para o transporte escolar.|2017-05-12T00:00:00|P097|377
2535|Catende|Prefeitura Municipal de Catende|Contratação de empresa especializada para Gerenciamento e Locação de Transporte Escolar|2017-08-04T00:00:00|P044|182
2564|Araçoiaba|Prefeitura Municipal de Araçoiaba|Contratação de empresa especializada para locação de transporte escolar com motorista para transportar os alunos da rede municipal do ensino fundamental, ensino médio e universitário|2017-10-16T00:00:00|P183|771
2571|Tuparetama|Prefeitura Municipal de Tuparetama|Contratação de empresa especializada para prestação de serviços emergenciais de transporte escolar para atendimentos dos alunos da zona rural.|2017-09-08T00:00:00|P162|698
2576|Cabrobó|Prefeitura Municipal de Cabrobó|Transporte escolar|2017-09-15T00:00:00|P031|125
2583|São Lourenço da Mata|Prefeitura Municipal de São Lourenço da Mata|Locação de Veículos para Transporte de Estudantes - Dispensa nº 08/2017|2017-11-16T00:00:00|P141|618
2648|Ouricuri|Prefeitura Municipal de Ouricuri|Locação de veículos destinados ao transporte de estudantes|2017-10-31T00:00:00|P103|417
2672|Joaquim Nabuco|Prefeitura Municipal de Joaquim Nabuco|Registro de preços para contratação de empresa para prestação dos serviços de transporte escolar e universitário para atender as necessidades da rede de ensino, Lotes I e II|2019-01-23T00:00:00|P086|341
2673|Santa Cruz|Prefeitura Municipal de Santa Cruz|Locação de veículos destinados ao transporte escolar dos alunos da rede municipal de ensino fundamental durante 10 meses, ou 200 dias letivos.|2017-12-06T00:00:00|P173|741
2691|Inajá|Prefeitura Municipal de Inajá|Contratação de empresa para locação e gerenciamento de veículos para realizar o serviço de Transporte Escolar.|2018-03-16T00:00:00|P072|286
2705|Betânia|Prefeitura Municipal de Betânia|Contratação de empresa especializada para os serviços de transporte escolar.|2017-06-30T00:00:00|P019|71
2706|Betânia|Prefeitura Municipal de Betânia|Contratação de empresa especializada para os serviços de transporte escolar.|2017-06-30T00:00:00|P019|71
2749|Lagoa Grande|Prefeitura Municipal de Lagoa Grande|Contratação de empresa para os serviços de transporte escolar para alunos de ensino fundamental da rede municipal, da rede estadual e de universitários.|2018-03-09T00:00:00|P177|754
2813|Brejo da Madre de Deus|Prefeitura Municipal do Brejo da Madre de Deus|Contratação de empresa especializada em locação e gerenciamento de veículos para transporte escolar, decorrente do Procedimento Licitatório Nº 053/2017, Pregão Nº 020/2017.|2018-05-16T00:00:00|P027|103
2819|Araripina|Prefeitura Municipal de Araripina|Prestação de serviços referente ao transporte escolar dos alunos da rede pública de ensino|2018-06-08T00:00:00|P012|40
2823|Parnamirim|Prefeitura Municipal de Parnamirim|Contratação de veículos com motorista para transporte de servidores, transporte escolar, fiscalização e para outras finalidades da Administração Municipal.|2018-05-25T00:00:00|P109|451
2833|Capoeiras|Prefeitura Municipal de Capoeiras|Locação de Veículos objetivando o deslocamento para apoio das atividades técnico-administrativas das diversas secretarias e o gerenciamento do transporte escolar do município.|2018-06-14T00:00:00|P040|162
2836|Catende|Prefeitura Municipal de Catende|Contratação de empresa especializada na prestação de serviços de Locação e Gerenciamento de veículos para atender ao Transporte Escolar do município de Catende/PE.|2018-06-19T00:00:00|P044|182
2849|Capoeiras|Prefeitura Municipal de Capoeiras|Contratação de empresa para serviços emergenciais de transporte escolar para alunos da rede pública, assim como, a Locação de Veículos, objetivando o deslocamento para apoio das atividades técnico-administrativas das diversas secretarias.|2018-06-14T00:00:00|P040|162
2862|Salgueiro|Prefeitura Municipal de Salgueiro|Contratação de empresa para serviços especializados em transporte municipal escolar, destinado aos alunos da rede municipal de ensino, com motorista, e veículos (ônibus, micro-ônibus e van) em perfeito estado de conservação e funcionamento, durante o ano letivo de 2017|2017-12-20T00:00:00|P126|563
2874|Santa Maria da Boa Vista|Prefeitura Municipal de Santa Maria da Boa Vista|Serviços de locação de veículos para execução do transporte de alunos e profissionais de educação da rede municipal de ensino da zona rural e da sede do município.|2018-08-03T00:00:00|P130|579
2888|Bodocó|Prefeitura Municipal de Bodocó|Contratação, em caráter de urgência pelo período de 60 (sessenta dias), prorrogáveis por mais 30 (trinta) dias, ou seja, 40 dias letivos, de empresa especializada no transporte dos alunos da rede municipal de ensino|2018-04-12T00:00:00|P021|80
2889|Bodocó|Prefeitura Municipal de Bodocó|Contratação de empresa para locação de veículos, em caráter não eventual, destinados à Secretaria de Educação do Município, na execução do transporte dos estudantes da rede municipal de ensino, pelo período de 200 (duzentos) dias letivos|2018-04-12T00:00:00|P021|80
2899|Macaparana|Prefeitura Municipal de Macaparana| Pregão nº 08/2017, Processo nº 33/2017, contratação de empresa para transporte de alunos, zona rural e urbana, da rede municipal de ensino, Secretaria de Educação de Macaparana|2018-08-31T00:00:00|P094|366
2965|Chã de Alegria|Prefeitura Municipal de Chã de Alegria|Gerenciamento do Transporte Escolar - Tomada de Preços nº 02/2017|2018-11-08T00:00:00|P046|189
2969|Chã de Alegria|Prefeitura Municipal de Chã de Alegria|Serviços Complementares de Transporte Escolar - Pregão Presencial nº 04/2018|2018-11-08T00:00:00|P046|189
3005|Itacuruba|Prefeitura Municipal de Itacuruba|Transporte Escolar|2018-10-03T00:00:00|P076|300
3006|Dormentes|Prefeitura Municipal de Dormentes|Transporte Escolar - Empresa LÍDER|2018-10-03T00:00:00|P170|732
3007|Dormentes|Prefeitura Municipal de Dormentes|Transporte Escolar - Empresa INTEGRAL (Optante pelo SN)|2018-10-03T00:00:00|P170|732
3017|Belém de São Francisco|Prefeitura Municipal de Belém de São Francisco|Transporte escolar - GETEME|2018-10-03T00:00:00|P017|62
3018|Belém de São Francisco|Prefeitura Municipal de Belém de São Francisco|Transporte escolar - ALMEIDA|2018-10-03T00:00:00|P017|62
3023|Serrita|Prefeitura Municipal de Serrita|Transporte Escolar|2018-03-23T00:00:00|P144|631
3026|Jurema|Prefeitura Municipal de Jurema|"Contratação de empresa especializada no Gerenciamento de Transporte Escolar da rede pública de ensino e serviço de Transporte Universitário.
"|2018-11-21T00:00:00|P088|348
3041|Verdejante|Prefeitura Municipal de Verdejante|Locação de veículo destinado ao transporte escolar de alunos das redes municipal e estadual do Município de Verdejante.|2018-12-11T00:00:00|P164|705
3047|Pombos|Prefeitura Municipal de Pombos|Serviço de Transporte Escolar - Dispensa nº 01/2017|2019-02-20T00:00:00|P117|483
3050|Pombos|Prefeitura Municipal de Pombos|Serviço de Transporte Escolar - Pregão nº 17/2017|2019-02-20T00:00:00|P117|483
3068|Verdejante|Prefeitura Municipal de Verdejante|Serviços de transporte escolar|2018-11-30T00:00:00|P164|705
3096|Ipubi|Prefeitura Municipal de Ipubi|Contratação de empresa do ramo pertinente ou pessoa física, para locação de veículos automotores com motoristas, para realizar o transporte escolar de alunos da rede municipal, da zona rural para a sede e vice-versa.|2019-03-01T00:00:00|P075|296
3106|Trindade|Prefeitura Municipal de Trindade|Transporte escolar|2019-03-29T00:00:00|P159|685
3111|Abreu e Lima|Prefeitura Municipal de Abreu e Lima|Contratação de empresa especializada na prestação de serviços de transporte coletivo de alunos da rede escolar pública, residentes na zona rural e urbana, do Município de Abreu e Lima|2019-05-10T00:00:00|P001|1
3113|Jaboatão dos Guararapes|Prefeitura Municipal do Jaboatão dos Guararapes|Serviços de Transporte Escolar - Dispensa nº 03/2019|2019-07-01T00:00:00|P083|319
3114|Jaboatão dos Guararapes|Prefeitura Municipal do Jaboatão dos Guararapes|Serviços de Transporte Escolar - Pregão Eletrônico nº 02/2019|2019-07-01T00:00:00|P083|319
3125|Água Preta|Prefeitura Municipal de Água Preta|Contratação de empresa especializada na prestação de serviços de gerenciamento do transporte escolar e locação de veículos para atender as necessidades de diversas secretarias municipais.|2019-05-17T00:00:00|P005|15
3128|Cabrobó|Prefeitura Municipal de Cabrobó|Serviços de Transporte Escolar|2019-05-17T00:00:00|P031|125
3134|Pedra|Prefeitura Municipal da Pedra|Contratação de empresa especializada para prestação de serviços de locação e gerenciamento de Transporte Escolar|2019-05-31T00:00:00|P112|462
3152|Tamandaré|Prefeitura Municipal de Tamandaré|Prestação de serviços para o transporte escolar e locação de veículos - Lote  I Transporte Escolar|2019-05-31T00:00:00|P181|767
3164|Afrânio|Prefeitura Municipal de Afrânio|Obtenção de Registro de Preços com vista à contratação de gestão e locação de frota destinada ao transporte de alunos do Ensino Fundamental da Rede Municipal e conveniada.|2019-06-14T00:00:00|P003|8
3177|Frei Miguelinho|Prefeitura Municipal de Frei Miguelinho|Contratação de empresa de locação de veículos para transporte escolar, decorrente do Processo Nº 018/2017|2019-07-31T00:00:00|P060|241
3193|Santa Terezinha|Prefeitura Municipal de Santa Terezinha|Serviço de transporte escolar dos alunos da rede municipal e estadual do município de Santa Terezinha.|2020-10-02T00:00:00|P132|584
3197|Orocó|Prefeitura Municipal de Orocó|Transporte escolar|2019-09-06T00:00:00|P102|414
3200|Cabrobó|Prefeitura Municipal de Cabrobó|Serviços de transporte escolar|2019-05-17T00:00:00|P031|125
3203|Capoeiras|Prefeitura Municipal de Capoeiras|Contratação de empresa para prestação dos serviços de realização e gerenciamento do transporte escolar da rede pública de ensino e locação de veículos|2019-09-22T00:00:00|P040|162
3209|Palmeirina|Prefeitura Municipal de Palmeirina|Contratação de empresa especializada para Prestação dos Serviços de Gerenciamento em Locação de Veículos e Transporte Escolar do município de Palmeirina/PE.|2019-09-13T00:00:00|P105|435
3222|Jaboatão dos Guararapes|Prefeitura Municipal do Jaboatão dos Guararapes|Serviços de Transporte Escolar - Pregão Eletrônico nº 11/2012 (Lote 1)|2019-11-20T00:00:00|P083|319
3232|São Lourenço da Mata|Prefeitura Municipal de São Lourenço da Mata|Contratação de empresa especializada na realização de transporte escolar do município com fornecimento de veículos adaptados conforme especificações técnicas constantes no Projeto básico.|2019-11-14T00:00:00|P141|618
3300|Quipapá|Prefeitura Municipal de Quipapá|Contratação de empresa especializada para locação e gerenciamento de veículos realizar o transporte escolar de forma gratuita e regular dos alunos matriculados na rede municipal de ensino de Quipapá/PE e professores e universitários.|2020-10-14T00:00:00|P119|490
3342|Surubim|Prefeitura Municipal de Surubim|Serviços de transporte escolar|2019-07-31T00:00:00|P149|649
3362|Jaboatão dos Guararapes|Prefeitura Municipal do Jaboatão dos Guararapes|Serviços de Transporte Escolar Eventual - Pregão Eletrônico nº 11/2012 (Lote 2)|2019-11-20T00:00:00|P083|319
